record_id,date_time,city_zone,road_type,traffic_volume,average_speed_kmph,weather_condition,accident_reported,travel_time_minutes,congestion_level
1,2024-01-01 00:00:00,Commercial,Highway,2885,41.6,Clear,No,54.6,Medium
2,2024-01-01 01:00:00,Residential,Local Road,184,26.6,Rain,Yes,112.5,High
3,2024-01-01 02:00:00,Commercial,Local Road,1013,11.0,Rain,No,42.7,High
4,2024-01-01 03:00:00,Residential,Local Road,2473,51.6,Storm,No,47.3,Low
5,2024-01-01 04:00:00,Downtown,Main Road,1709,68.2,Clear,No,68.2,Low
6,2024-01-01 05:00:00,Suburban,Highway,2872,65.5,Storm,No,43.4,Low
7,2024-01-01 06:00:00,Downtown,Local Road,1949,38.5,Fog,No,92.5,Low
8,2024-01-01 07:00:00,Suburban,Highway,576,48.1,Clear,No,21.4,Medium
9,2024-01-01 08:00:00,Suburban,Main Road,2749,41.8,Storm,No,25.6,Low
10,2024-01-01 09:00:00,Downtown,Main Road,2835,56.4,Fog,No,91.3,Low
11,2024-01-01 10:00:00,Suburban,Highway,1299,51.7,Clear,Yes,15.9,Low
12,2024-01-01 11:00:00,Downtown,Local Road,2309,10.3,Storm,No,30.5,High
13,2024-01-01 12:00:00,Residential,Main Road,586,35.6,Rain,No,78.1,Medium
14,2024-01-01 13:00:00,Commercial,Local Road,947,26.4,Fog,No,80.4,Medium
15,2024-01-01 14:00:00,Industrial,Main Road,356,60.0,Clear,No,79.6,Medium
16,2024-01-01 15:00:00,Downtown,Highway,2502,30.3,Clear,No,26.2,High
17,2024-01-01 16:00:00,Commercial,Main Road,2905,22.9,Rain,No,65.6,High
18,2024-01-01 17:00:00,Commercial,Main Road,798,14.8,Storm,No,74.5,Low
19,2024-01-01 18:00:00,Commercial,Local Road,2080,77.9,Clear,No,17.4,High
20,2024-01-01 19:00:00,Industrial,Main Road,661,21.1,Rain,No,87.5,Low
21,2024-01-01 20:00:00,Suburban,Local Road,393,67.7,Storm,No,67.8,Medium
22,2024-01-01 21:00:00,Downtown,Main Road,931,62.5,Clear,No,25.0,Medium
23,2024-01-01 22:00:00,Residential,Main Road,2848,15.6,Rain,Yes,94.4,Low
24,2024-01-01 23:00:00,Commercial,Local Road,1370,23.4,Storm,No,80.5,Medium
25,2024-01-02 00:00:00,Industrial,Local Road,414,63.9,Fog,No,84.0,Low
26,2024-01-02 01:00:00,Suburban,Local Road,605,20.0,Rain,Yes,90.4,Low
27,2024-01-02 02:00:00,Commercial,Highway,405,11.9,Fog,Yes,103.5,Medium
28,2024-01-02 03:00:00,Downtown,Local Road,2340,17.0,Storm,No,69.4,High
29,2024-01-02 04:00:00,Residential,Highway,2922,17.2,Clear,No,76.4,Medium
30,2024-01-02 05:00:00,Residential,Highway,2782,12.0,Clear,No,62.4,Low
31,2024-01-02 06:00:00,Downtown,Local Road,2419,36.9,Clear,No,38.1,Medium
32,2024-01-02 07:00:00,Suburban,Main Road,2907,76.2,Fog,No,5.8,Low
33,2024-01-02 08:00:00,Commercial,Local Road,497,21.7,Clear,No,119.0,Low
34,2024-01-02 09:00:00,Commercial,Main Road,1487,53.9,Fog,No,50.9,Medium
35,2024-01-02 10:00:00,Suburban,Main Road,1448,39.8,Fog,No,110.2,Low
36,2024-01-02 11:00:00,Industrial,Main Road,2044,45.0,Clear,Yes,91.0,Medium
37,2024-01-02 12:00:00,Suburban,Local Road,2803,59.1,Rain,No,23.7,High
38,2024-01-02 13:00:00,Downtown,Local Road,1925,47.7,Fog,No,83.3,Medium
39,2024-01-02 14:00:00,Residential,Highway,208,47.6,Clear,No,63.8,Low
40,2024-01-02 15:00:00,Suburban,Highway,1087,67.2,Rain,No,29.4,High
41,2024-01-02 16:00:00,Industrial,Main Road,1357,63.9,Clear,No,107.3,Medium
42,2024-01-02 17:00:00,Suburban,Local Road,1058,67.9,Storm,No,66.5,High
43,2024-01-02 18:00:00,Downtown,Local Road,1313,70.2,Clear,No,58.1,Medium
44,2024-01-02 19:00:00,Suburban,Local Road,1405,71.3,Fog,No,21.0,High
45,2024-01-02 20:00:00,Industrial,Local Road,2185,46.4,Fog,No,26.3,Medium
46,2024-01-02 21:00:00,Suburban,Main Road,1452,28.9,Fog,No,96.2,Low
47,2024-01-02 22:00:00,Residential,Highway,332,58.6,Rain,No,85.8,Medium
48,2024-01-02 23:00:00,Downtown,Main Road,2188,45.2,Fog,No,90.5,Low
49,2024-01-03 00:00:00,Commercial,Main Road,355,56.1,Fog,No,59.6,High
50,2024-01-03 01:00:00,Commercial,Highway,2823,17.9,Storm,No,19.5,High
51,2024-01-03 02:00:00,Residential,Highway,1254,60.3,Rain,No,116.4,Medium
52,2024-01-03 03:00:00,Downtown,Local Road,1172,28.5,Storm,No,93.6,Medium
53,2024-01-03 04:00:00,Suburban,Local Road,258,16.9,Clear,No,67.2,Low
54,2024-01-03 05:00:00,Suburban,Local Road,1438,69.1,Fog,No,43.7,Medium
55,2024-01-03 06:00:00,Commercial,Highway,2140,15.9,Clear,No,117.5,Low
56,2024-01-03 07:00:00,Industrial,Highway,1958,24.2,Rain,No,118.5,Low
57,2024-01-03 08:00:00,Commercial,Main Road,2954,76.6,Clear,Yes,42.2,Medium
58,2024-01-03 09:00:00,Industrial,Local Road,2831,37.8,Storm,No,24.8,Low
59,2024-01-03 10:00:00,Commercial,Main Road,895,18.6,Storm,Yes,22.0,High
60,2024-01-03 11:00:00,Suburban,Local Road,1979,55.5,Clear,No,56.9,Medium
